Patient_ID	Signal_Name	Lead_Index	Lead_Name	Segment_Index	LogEn	ShaEn	CorrDim
ecg_db_patient_01	s0010_re	1	s0010_re_L1	1	9227.80328877955	11.4467213291039	0.0200464634731446
ecg_db_patient_01	s0010_re	1	s0010_re_L1	2	-3092.2440617844	11.2136871154662	0.0919916163733239
ecg_db_patient_01	s0010_re	1	s0010_re_L1	3	-12522.6473340877	10.5192065700435	0.163542334789526
ecg_db_patient_01	s0010_re	1	s0010_re_L1	4	-15610.1123171571	10.1769839783839	0.196545036741496
ecg_db_patient_01	s0010_re	1	s0010_re_L1	5	-18260.6847784693	9.9692668153458	0.264679174768314
ecg_db_patient_01	s0010_re	1	s0010_re_L1	6	-16354.9330800371	10.1491131664639	0.219514658720739
ecg_db_patient_01	s0010_re	2	s0010_re_L2	1	4698.34695428871	11.3781310966388	0.0355359713138557
ecg_db_patient_01	s0010_re	2	s0010_re_L2	2	-6491.47167148373	10.9543724225105	0.122198429332593
ecg_db_patient_01	s0010_re	2	s0010_re_L2	3	-14704.3173598643	10.199636321296	0.209962374687508
ecg_db_patient_01	s0010_re	2	s0010_re_L2	4	-17601.1007538256	9.9009066166932	0.246740233832479
ecg_db_patient_01	s0010_re	2	s0010_re_L2	5	-16641.0368488608	10.0011265208876	0.290133077447539
ecg_db_patient_01	s0010_re	2	s0010_re_L2	6	-10268.5414111022	10.6321380381894	0.179504052927956
ecg_db_patient_01	s0010_re	3	s0010_re_L3	1	-14484.5277519199	9.7608532205736	0.171775460215651
ecg_db_patient_01	s0010_re	3	s0010_re_L3	2	-15034.2435753765	9.64502649860434	0.246634175904649
ecg_db_patient_01	s0010_re	3	s0010_re_L3	3	-15677.0281183617	9.64293155936173	0.26372364334234
ecg_db_patient_01	s0010_re	3	s0010_re_L3	4	-14742.9297810061	9.63253963625405	0.248959369712886
ecg_db_patient_01	s0010_re	3	s0010_re_L3	5	-15926.8979635317	9.65239339022304	0.253487033155728
ecg_db_patient_01	s0010_re	3	s0010_re_L3	6	-14547.9197842309	9.62421735526211	0.231153253705714
